episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
1,nan,nan,70.0026,-0.115778,0,0.6000,0.29997
2,nan,nan,92.7795,-0.152833,0,0.4872,0.29994
3,nan,nan,72.2181,-0.180341,0,0.2500,0.29991
4,nan,nan,62.4235,-0.151679,0,0.4400,0.29988
5,nan,nan,32.1832,-0.093433,0,0.7273,0.29985
6,nan,nan,45.4227,-0.091604,0,0.4375,0.29982
7,nan,nan,44.7604,-0.082661,0,0.5833,0.29979
8,nan,nan,34.4784,-0.110692,0,0.4500,0.29976
9,nan,nan,75.0757,-0.177811,0,0.3600,0.29973
10,nan,nan,67.8458,-0.133825,1,0.3226,0.29970
11,nan,nan,66.1133,-0.117270,0,0.5405,0.29968
12,nan,nan,62.6740,-0.129551,0,0.3667,0.29965
13,nan,nan,74.3386,-0.117799,0,0.4750,0.29962
14,nan,nan,42.8994,-0.106842,0,0.4800,0.29959
15,nan,nan,71.2415,-0.139429,0,0.4375,0.29956
16,nan,nan,33.5889,-0.075538,0,0.5862,0.29953
17,0.040649,0.554262,30.7952,-0.074084,0,0.6786,0.29950
18,-0.067297,0.614335,67.2848,-0.110501,0,0.5897,0.29947
19,-0.078449,0.599882,70.1928,-0.118512,0,0.5897,0.29944
20,-0.075586,0.601249,57.7180,-0.110612,1,0.5455,0.29941
21,-0.072909,0.613296,73.6548,-0.113987,0,0.3488,0.29938
22,-0.086168,0.617572,59.7851,-0.140749,0,0.5385,0.29935
23,-0.076234,0.622533,91.0848,-0.123812,0,0.2553,0.29932
24,-0.081271,0.630850,62.4210,-0.115584,1,0.5429,0.29929
25,-0.073276,0.587051,18.7554,-0.048095,1,0.7241,0.29926
26,-0.084807,0.595666,76.0451,-0.143266,0,0.3438,0.29923
27,-0.072177,0.590969,79.5621,-0.143436,0,0.3429,0.29920
28,-0.087201,0.602808,32.1658,-0.117483,0,0.2941,0.29917
29,-0.092475,0.634042,83.6431,-0.124264,0,0.3095,0.29914
30,-0.056633,0.619629,49.7071,-0.148240,1,0.4000,0.29911
31,-0.079681,0.619673,68.8102,-0.136180,0,0.4839,0.29909
32,-0.088896,0.612104,82.0816,-0.110192,0,0.2600,0.29906
33,-0.092003,0.630447,40.2412,-0.086813,0,0.5333,0.29903
34,-0.076178,0.608744,89.9744,-0.133626,0,0.2791,0.29900
35,-0.087077,0.629198,35.7325,-0.089785,0,0.3462,0.29897
36,-0.081297,0.620608,84.2045,-0.126430,0,0.4651,0.29894
37,-0.096493,0.637639,86.1259,-0.117383,0,0.3696,0.29891
38,-0.093249,0.604917,58.7054,-0.127387,1,0.5172,0.29888
39,-0.100741,0.630299,51.2746,-0.086878,1,0.5250,0.29885
40,-0.112133,0.640240,14.1284,-0.083656,0,0.6667,0.29882
41,-0.086442,0.581303,72.7029,-0.143967,0,0.2581,0.29879
42,-0.079615,0.609804,61.1852,-0.134315,1,0.3929,0.29876
43,-0.076531,0.630426,36.9399,-0.170060,0,0.3846,0.29873
44,-0.099359,0.641324,45.2515,-0.116607,0,0.3750,0.29870
45,-0.078176,0.600981,24.7770,-0.070078,0,0.6667,0.29867
46,-0.097613,0.624649,96.1268,-0.151203,0,0.3077,0.29864
47,-0.106185,0.648343,44.5362,-0.088730,0,0.6667,0.29861
48,-0.093800,0.626152,66.2903,-0.158560,1,0.2000,0.29858
49,-0.108921,0.687989,59.6780,-0.137673,0,0.2692,0.29855
50,-0.106340,0.654465,75.2735,-0.131097,0,0.4167,0.29852
51,-0.098988,0.651522,83.1774,-0.142610,0,0.3611,0.29850
52,-0.099339,0.628553,54.2080,-0.115497,1,0.5333,0.29847
53,-0.093835,0.622745,54.6566,-0.101659,0,0.4118,0.29844
54,-0.104955,0.637005,55.4430,-0.127077,0,0.3333,0.29841
55,-0.098964,0.648523,78.2061,-0.134311,0,0.2162,0.29838
56,-0.100105,0.665335,53.6269,-0.104511,1,0.5758,0.29835
57,-0.093916,0.615284,66.6291,-0.127366,0,0.4242,0.29832
58,-0.122373,0.665088,51.5172,-0.137868,1,0.4783,0.29829
59,-0.090292,0.650173,85.0839,-0.129919,1,0.2683,0.29826
60,-0.102587,0.647150,74.9059,-0.113076,0,0.5000,0.29823
61,-0.108741,0.660798,56.9537,-0.156879,0,0.4545,0.29820
62,-0.105280,0.676422,58.6722,-0.128109,0,0.2500,0.29817
63,-0.099196,0.661632,114.5130,-0.142751,0,0.4615,0.29814
