episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
1,nan,nan,70.0026,-0.115778,0,0.6000,0.29997
2,nan,nan,36.1092,-0.137640,1,0.5625,0.29994
3,nan,nan,27.9900,-0.079625,0,0.7391,0.29991
4,nan,nan,33.1932,-0.083734,0,0.7308,0.29988
5,nan,nan,42.5889,-0.107227,0,0.4000,0.29985
6,nan,nan,103.9758,-0.124916,0,0.2830,0.29982
7,nan,nan,48.3973,-0.083945,0,0.4737,0.29979
8,nan,nan,53.5123,-0.088977,1,0.3333,0.29976
9,nan,nan,59.3718,-0.156055,0,0.3913,0.29973
10,nan,nan,59.1128,-0.185823,1,0.2105,0.29970
11,nan,nan,33.5866,-0.084275,0,0.7857,0.29968
12,nan,nan,46.4000,-0.121920,0,0.5833,0.29965
13,nan,nan,68.9284,-0.154254,1,0.2593,0.29962
14,nan,nan,67.1848,-0.111895,0,0.4872,0.29959
15,nan,nan,65.9010,-0.125223,0,0.5588,0.29956
16,nan,nan,85.7797,-0.124467,0,0.4222,0.29953
17,-0.154557,0.660275,94.4770,-0.154748,0,0.3421,0.29950
18,-0.157177,0.683031,47.0526,-0.093785,0,0.5000,0.29947
19,-0.155416,0.666288,60.0289,-0.132702,1,0.3929,0.29944
20,-0.157819,0.645351,43.3966,-0.141295,1,0.4211,0.29941
21,-0.163415,0.676989,65.4369,-0.133767,0,0.4516,0.29938
22,-0.153724,0.646390,56.6395,-0.099267,0,0.5676,0.29935
23,-0.160166,0.656480,95.7227,-0.132332,0,0.4565,0.29932
24,-0.165957,0.662068,53.3694,-0.096905,0,0.5676,0.29929
25,-0.154066,0.647668,51.2432,-0.133421,0,0.3913,0.29926
26,-0.159712,0.653983,67.1770,-0.120613,0,0.3429,0.29923
27,-0.156132,0.649996,46.9212,-0.084728,1,0.5278,0.29920
28,-0.162108,0.663704,92.9555,-0.139347,0,0.4048,0.29917
29,-0.156779,0.663907,86.5143,-0.133033,0,0.3250,0.29914
30,-0.158248,0.678367,63.8343,-0.132585,0,0.2414,0.29911
31,-0.159108,0.678392,38.3912,-0.076464,0,0.3824,0.29909
32,-0.168661,0.677970,86.7668,-0.171697,0,0.2000,0.29906
33,-0.165682,0.678455,33.5208,-0.085678,1,0.4000,0.29903
34,-0.158864,0.670023,63.5871,-0.139061,0,0.2500,0.29900
35,-0.171613,0.688729,57.9944,-0.092370,0,0.5000,0.29897
36,-0.167587,0.671630,14.5761,-0.065759,0,0.5000,0.29894
37,-0.167614,0.677419,83.9863,-0.100355,0,0.3571,0.29891
38,-0.175102,0.693022,59.4042,-0.112742,0,0.4062,0.29888
39,-0.178258,0.716496,93.0120,-0.130581,1,0.3696,0.29885
40,-0.166775,0.692890,30.0287,-0.090207,0,0.5238,0.29882
41,-0.181050,0.729804,38.2733,-0.090809,0,0.5556,0.29879
42,-0.169421,0.682322,78.5211,-0.158235,0,0.2667,0.29876
43,-0.165230,0.683569,58.6091,-0.109071,0,0.6111,0.29873
44,-0.162408,0.676301,71.2773,-0.125665,0,0.2857,0.29870
45,-0.158084,0.686412,46.7423,-0.108528,1,0.4444,0.29867
