episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
1,nan,nan,70.0026,-0.115778,0,0.6000,0.29997
2,nan,nan,92.7795,-0.152833,0,0.4872,0.29994
3,nan,nan,72.2181,-0.180341,0,0.2500,0.29991
4,nan,nan,62.4235,-0.151679,0,0.4400,0.29988
5,nan,nan,32.1832,-0.093433,0,0.7273,0.29985
6,nan,nan,45.4227,-0.091604,0,0.4375,0.29982
7,nan,nan,44.7604,-0.082661,0,0.5833,0.29979
8,nan,nan,34.4784,-0.110692,0,0.4500,0.29976
9,nan,nan,75.0757,-0.177811,0,0.3600,0.29973
10,nan,nan,67.8458,-0.133825,1,0.3226,0.29970
11,nan,nan,66.1133,-0.117270,0,0.5405,0.29968
12,nan,nan,62.6740,-0.129551,0,0.3667,0.29965
13,nan,nan,74.3386,-0.117799,0,0.4750,0.29962
14,nan,nan,42.8994,-0.106842,0,0.4800,0.29959
15,nan,nan,71.2415,-0.139429,0,0.4375,0.29956
16,nan,nan,33.5889,-0.075538,0,0.5862,0.29953
17,-0.068246,0.554267,30.7952,-0.074084,0,0.6786,0.29950
18,-0.102740,0.614726,67.2848,-0.110501,0,0.5897,0.29947
19,-0.118812,0.600600,70.1928,-0.118512,0,0.5897,0.29944
20,-0.118287,0.602190,57.8180,-0.110725,1,0.5152,0.29941
21,-0.118581,0.614442,73.6548,-0.113987,0,0.3488,0.29938
22,-0.127393,0.618812,59.4851,-0.139958,0,0.5385,0.29935
23,-0.118653,0.623864,91.0848,-0.123812,0,0.2553,0.29932
24,-0.132712,0.632131,62.4210,-0.115584,1,0.5429,0.29929
25,-0.121900,0.588322,18.7554,-0.048095,1,0.7241,0.29926
26,-0.128210,0.597834,82.1215,-0.154008,0,0.2500,0.29923
27,-0.126662,0.598339,79.5621,-0.143436,0,0.3429,0.29920
28,-0.131930,0.610699,32.1658,-0.117483,0,0.2941,0.29917
29,-0.130564,0.641512,83.6431,-0.124264,0,0.3095,0.29914
30,-0.113678,0.626859,49.7071,-0.148240,1,0.4000,0.29911
31,-0.127965,0.625878,68.8102,-0.136180,0,0.4839,0.29909
32,-0.121722,0.612392,82.4954,-0.113601,0,0.2708,0.29906
33,-0.135588,0.646932,41.7580,-0.084416,0,0.4688,0.29903
34,-0.122494,0.620957,89.9744,-0.133647,0,0.2791,0.29900
35,-0.139114,0.640150,35.7325,-0.089785,0,0.3462,0.29897
36,-0.131277,0.634003,84.2045,-0.126430,0,0.4651,0.29894
37,-0.142903,0.645872,85.0561,-0.111641,0,0.3750,0.29891
38,-0.148573,0.659118,63.8422,-0.124989,1,0.3438,0.29888
39,-0.146198,0.659482,45.6345,-0.081962,0,0.5676,0.29885
40,-0.134870,0.642167,18.6568,-0.084068,1,0.6000,0.29882
41,-0.126284,0.592336,62.9639,-0.158148,0,0.3333,0.29879
42,-0.127808,0.630804,55.3022,-0.115011,0,0.3333,0.29876
43,-0.115984,0.621793,36.9399,-0.170060,0,0.3846,0.29873
44,-0.143774,0.650335,45.2515,-0.116607,0,0.3750,0.29870
45,-0.128563,0.611246,24.3770,-0.066920,0,0.7200,0.29867
46,-0.141679,0.634083,88.5268,-0.130592,0,0.3953,0.29864
47,-0.154954,0.662852,47.7390,-0.084863,0,0.5676,0.29861
48,-0.131084,0.617301,49.3178,-0.101157,0,0.5000,0.29858
49,-0.159396,0.663062,53.5159,-0.164337,1,0.3000,0.29855
50,-0.132277,0.617636,77.5408,-0.143274,0,0.3824,0.29852
51,-0.150323,0.657956,83.0086,-0.158235,0,0.3939,0.29850
52,-0.147373,0.654607,54.7930,-0.121925,0,0.5714,0.29847
53,-0.134347,0.615719,57.0484,-0.104502,0,0.2647,0.29844
54,-0.138334,0.637423,59.8825,-0.146282,0,0.3600,0.29841
55,-0.148340,0.664314,84.8558,-0.136921,0,0.3846,0.29838
56,-0.140938,0.644227,34.5700,-0.069838,0,0.5882,0.29835
57,-0.146729,0.640545,94.0890,-0.150885,0,0.2895,0.29832
58,-0.146175,0.654097,36.5172,-0.087112,1,0.7143,0.29829
59,-0.142340,0.656720,82.4996,-0.149326,0,0.3529,0.29826
60,-0.147405,0.626810,85.0836,-0.131365,0,0.3333,0.29823
61,-0.160636,0.668679,42.6749,-0.116117,0,0.5652,0.29820
62,-0.139254,0.656081,52.1100,-0.119657,0,0.3333,0.29817
63,-0.147434,0.659744,125.5727,-0.156563,0,0.2800,0.29814
