episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
1,nan,nan,70.0026,-0.000616,0,0.6000,0.29997
2,nan,nan,92.7795,-0.000678,0,0.4872,0.29994
3,nan,nan,72.2181,-0.000812,0,0.2500,0.29991
4,nan,nan,62.4235,-0.000658,0,0.4400,0.29988
5,nan,nan,32.1832,-0.000418,0,0.7273,0.29985
6,nan,nan,45.4227,-0.000400,0,0.4375,0.29982
7,nan,nan,44.7604,-0.000375,0,0.5833,0.29979
8,nan,nan,34.4784,-0.000447,0,0.4500,0.29976
9,nan,nan,75.0757,-0.000868,0,0.3600,0.29973
10,nan,nan,67.8458,-0.000576,1,0.3226,0.29970
11,nan,nan,66.1133,-0.000530,0,0.5405,0.29968
12,nan,nan,62.6740,-0.000516,0,0.3667,0.29965
13,nan,nan,74.3386,-0.000491,0,0.4750,0.29962
14,nan,nan,42.8994,-0.000403,0,0.4800,0.29959
15,nan,nan,71.2415,-0.000616,0,0.4375,0.29956
16,nan,nan,33.5889,-0.000297,0,0.5862,0.29953
17,0.105922,0.554307,30.7952,-0.000257,0,0.6786,0.29950
18,-0.071799,0.614239,67.2848,-0.000561,0,0.5897,0.29947
19,-0.082026,0.599732,70.1928,-0.000476,0,0.5897,0.29944
20,-0.065037,0.601168,57.7180,-0.000503,1,0.5455,0.29941
21,-0.073324,0.613072,73.6548,-0.000478,0,0.3488,0.29938
22,-0.064200,0.618816,60.9851,-0.000689,0,0.5200,0.29935
23,-0.062944,0.624624,92.1848,-0.000514,0,0.3333,0.29932
24,-0.087459,0.630830,62.4210,-0.000485,1,0.5429,0.29929
25,-0.081712,0.585029,18.7554,-0.000210,1,0.7241,0.29926
26,-0.078894,0.597862,76.0451,-0.000632,0,0.3438,0.29923
27,-0.085707,0.589983,79.5621,-0.000664,0,0.3429,0.29920
28,-0.095997,0.599747,32.1658,-0.000556,0,0.2941,0.29917
29,-0.056883,0.634906,83.6431,-0.000458,0,0.3095,0.29914
30,-0.075102,0.620123,49.7071,-0.000705,1,0.4000,0.29911
31,-0.070883,0.616481,68.8102,-0.000595,0,0.4839,0.29909
32,-0.083181,0.609337,81.0128,-0.000414,0,0.3200,0.29906
33,-0.091219,0.627030,40.2412,-0.000394,0,0.5333,0.29903
34,-0.076191,0.610081,89.9744,-0.000555,0,0.2791,0.29900
35,-0.098412,0.631942,35.7325,-0.000375,0,0.3462,0.29897
36,-0.085647,0.620289,84.2045,-0.000556,0,0.4651,0.29894
37,-0.092003,0.632955,84.8561,-0.000498,0,0.3750,0.29891
38,-0.101661,0.646771,63.8422,-0.000597,1,0.3438,0.29888
39,-0.105882,0.648241,46.5345,-0.000353,0,0.6389,0.29885
40,-0.101857,0.644363,14.1284,-0.000356,0,0.6364,0.29882
41,-0.060501,0.592286,72.7029,-0.000627,0,0.2581,0.29879
42,-0.084543,0.617879,61.1852,-0.000590,1,0.3929,0.29876
43,-0.049032,0.633169,36.9399,-0.000719,0,0.3846,0.29873
44,-0.076902,0.651022,45.2515,-0.000518,0,0.3750,0.29870
45,-0.089780,0.609742,25.9770,-0.000345,0,0.5500,0.29867
46,-0.084680,0.627536,94.7268,-0.000593,0,0.3721,0.29864
47,-0.107483,0.655113,44.8362,-0.000360,0,0.6000,0.29861
48,-0.071562,0.640058,67.1998,-0.000619,1,0.2963,0.29858
49,-0.113780,0.690125,60.5780,-0.000631,0,0.2963,0.29855
50,-0.095727,0.669492,73.8783,-0.000595,0,0.4286,0.29852
51,-0.111675,0.657055,92.7774,-0.000827,0,0.2857,0.29850
52,-0.098221,0.645051,54.3080,-0.000531,1,0.5000,0.29847
53,-0.103713,0.639075,54.6566,-0.000501,0,0.4118,0.29844
54,-0.088730,0.650599,55.4430,-0.000592,0,0.3333,0.29841
55,-0.108661,0.654609,78.2061,-0.000541,0,0.2162,0.29838
56,-0.104450,0.677586,53.6269,-0.000489,1,0.5758,0.29835
57,-0.100936,0.635080,66.6291,-0.000541,0,0.4242,0.29832
58,-0.091667,0.674568,51.5172,-0.000666,1,0.4783,0.29829
59,-0.094562,0.652636,85.6353,-0.000549,1,0.2778,0.29826
60,-0.099850,0.648220,80.0005,-0.000570,0,0.4103,0.29823
61,-0.109766,0.663011,45.8873,-0.000456,0,0.4667,0.29820
62,-0.092550,0.680307,58.6722,-0.000615,0,0.2500,0.29817
63,-0.093514,0.654953,114.5130,-0.000665,0,0.4615,0.29814
64,-0.091859,0.659424,34.5498,-0.000329,0,0.6000,0.29811
65,-0.127803,0.687693,68.8732,-0.000660,0,0.4516,0.29808
66,-0.091997,0.661011,68.8267,-0.000755,1,0.3333,0.29805
67,-0.102894,0.676017,24.7751,-0.000651,1,0.4615,0.29802
68,-0.089321,0.647767,77.3103,-0.000716,0,0.3714,0.29799
69,-0.090015,0.669585,102.7994,-0.000713,0,0.2500,0.29796
